Field_Season	Species	Collection_Date	Plot	Sex	Weight_(g)	Calibration 
2013	DM	2013-07-16	2	F	NULL	NULL
2013	DM	2013-07-16	7	M	33	GOOD
2013	DM	2013-07-16	3	M	NULL	NULL
2013	DM	2013-07-16	1	M	NULL	NULL
2013	DM	2013-07-18	3	M	40	GOOD
2013	DM	2013-07-18	7	M	48	GOOD
2013	DM	2013-07-18	4	F	29	GOOD
2013	DM	2013-07-18	6	F	37	GOOD
2013	DO	2013-08-19	8	F	52	GOOD
2013	DO	2013-10-17	3	F	33	GOOD
2013	DO	2013-10-17	3	F	50	GOOD
2013	DO	2013-12-10	9	F	40	GOOD
2013	DO	2013-12-10	1	M	45	GOOD
2013	DO	2013-12-11	8	F	41	GOOD
2013	DS	2013-11-12	9	F	117	GOOD
2013	DS	2013-11-13	11	F	126	GOOD
2013	DS	2013-11-13	17	M	132	POOR
2013	DS	2013-11-13	14	F	113	POOR
2013	DS	2013-11-13	11	F	122	GOOD
2013	DS	2013-11-13	4	F	107	GOOD
2013	DS	2013-11-13	4	F	115	GOOD
2014	DM	2014-01-09	1	M	40	GOOD
2014	DM	2014-01-09	1	F	36	GOOD
2014	DM	2014-03-13	1	F	51	GOOD
2014	DM	2014-03-13	1	F	44	GOOD
2014	DM	2014-01-08	2	M	44	GOOD
2014	DM	2014-01-08	2	M	45	GOOD
2014	DM	2014-01-08	2	M	51	GOOD
2014	DM	1978-01-08	4	F	37	GOOD
2014	DM	1978-01-08	4	M	NULL	NULL
2014	DM	1978-01-08	4	F	48	GOOD
2014	DS	2014-03-13	1	F	146	GOOD
2014	NA	2014-01-08	2	NULL	NULL	NULL
2014	PF	2014-01-08	2	F	7	GOOD
2014	OT	2014-01-08	1	NULL	NULL	NULL
2014	DS	2014-01-08	2	M	157	POOR
2014	OX	2014-01-08	2	NULL	NULL	NULL
2014	NA	2014-02-08	2	M	218	POOR
2014	PF	2014-02-08	2	F	7	GOOD
2014	PF	2015-03-11	3	M	8	NULL
2014	NA	2015-04-08	3	F	NULL	NULL
2014	NULL	2015-05-06	3	NULL	NULL	NULL
2014	NA	2015-05-18	3	F	182	GOOD
2014	OT	2015-06-09	3	F	29	GOOD
2014	NA	2015-07-08	3	F	115	GOOD
2014	NA	2015-07-08	3	M	190	GOOD
